2026-06-22 14:11:59,197 - DEBUG - Trying load 'test'..| extra=asctime='2026-06-22 14:11:59,197'
2026-06-22 14:11:59,199 - DEBUG - [test]: detected object module 'domain.web_core.plugin.public.test.main', finding 'setup_me'..| extra=asctime='2026-06-22 14:11:59,199'
2026-06-22 14:11:59,199 - DEBUG - [test]:Flask: object doesn't have 'setup_me' function, skiped!| extra=asctime='2026-06-22 14:11:59,199'
2026-06-22 14:11:59,199 - DEBUG - [test]:polyplay: setup_me finded! object registered into Queue.| extra=asctime='2026-06-22 14:11:59,199'
2026-06-22 14:11:59,416 - DEBUG - Memuat blueprint 'setup' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:11:59,416'
2026-06-22 14:11:59,515 - DEBUG - Memuat blueprint 'setup' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:11:59,515'
2026-06-22 14:11:59,515 - DEBUG - Memuat blueprint 'setup_me' (prioritas=NORMAL)..| extra=asctime='2026-06-22 14:11:59,515'
2026-06-22 14:11:59,518 - DEBUG - Registrasi selesai — berhasil: 3, gagal: 0.| extra=asctime='2026-06-22 14:11:59,518'
2026-06-22 14:11:59,576 - DEBUG - All routes registered successfully| extra=asctime='2026-06-22 14:11:59,576'
2026-06-22 14:11:59,578 - DEBUG - Server setup completed.| extra=asctime='2026-06-22 14:11:59,578'
